French,English
histoire,history
chercher,search
seulement,only
demande,request
mois,month
frère,brother
car,because
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
bébé,baby
pendant,while
aucune,any
étaient,were
attention,Warning
affaire,case
donner,give
leurs,their
train,train
endroit,place
yeux,eyes
façon,way
dont,whose
pouvoir,power
vieux,old
venu,came
suite,after
pardon,sorry
venez,come
demandé,request
mis,placed
aimerais,would like to
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
donne,given
loin,far
gros,large
aura,will have
jouer,to play
